epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
127,6104.47,0.99336,0.61639,1.03063,0.93575,0.79881,0.88504,0.63256,1.01475,0.59411,0.94938,0.0003763,0.0003763,0.0003763
128,6163.8,0.99148,0.60551,1.02622,0.93786,0.78517,0.87951,0.62774,1.0301,0.58898,0.95218,0.00037135,0.00037135,0.00037135
129,6223.08,0.96512,0.60463,1.01605,0.92738,0.80222,0.8811,0.62819,1.03504,0.59468,0.94619,0.0003664,0.0003664,0.0003664
130,6282.93,0.97303,0.61372,1.02208,0.91898,0.81229,0.88323,0.62256,1.04059,0.59276,0.95598,0.00036145,0.00036145,0.00036145
131,6342.63,0.96186,0.59726,1.0149,0.92865,0.80136,0.88067,0.62832,1.02259,0.58341,0.95311,0.0003565,0.0003565,0.0003565
132,6401.48,0.97893,0.60441,1.02619,0.92734,0.81245,0.88463,0.62768,1.02291,0.58933,0.95509,0.00035155,0.00035155,0.00035155
133,6460.72,0.96314,0.59023,1.01021,0.92944,0.80136,0.87832,0.62823,1.02691,0.58117,0.95055,0.0003466,0.0003466,0.0003466
134,6519.77,0.95086,0.59398,1.01709,0.92171,0.80477,0.87658,0.62778,1.02362,0.58399,0.95508,0.00034165,0.00034165,0.00034165
135,6578.5,0.96279,0.59344,1.01889,0.93517,0.79929,0.87941,0.63103,1.00711,0.58069,0.95233,0.0003367,0.0003367,0.0003367
136,6637.55,0.94746,0.58217,1.0169,0.93533,0.78858,0.88236,0.63619,1.0112,0.56966,0.95201,0.00033175,0.00033175,0.00033175
137,6696.36,0.95369,0.58229,1.01561,0.91584,0.80818,0.883,0.63488,1.00793,0.58455,0.95194,0.0003268,0.0003268,0.0003268
138,6755.33,0.9624,0.58939,1.01771,0.92795,0.7954,0.87979,0.63371,0.99413,0.5841,0.95613,0.00032185,0.00032185,0.00032185
139,6814.68,0.94774,0.58717,1.01212,0.94156,0.79625,0.88122,0.63425,0.99697,0.58569,0.95961,0.0003169,0.0003169,0.0003169
140,6874.18,0.9558,0.59432,1.02226,0.94531,0.78943,0.88574,0.63686,0.99696,0.57706,0.95349,0.00031195,0.00031195,0.00031195
141,6933.31,0.96181,0.58472,1.01547,0.94333,0.78772,0.8865,0.64286,0.98291,0.57906,0.94478,0.000307,0.000307,0.000307
142,6992.9,0.94416,0.57769,1.01799,0.9398,0.78519,0.88254,0.6388,0.98499,0.57955,0.9473,0.00030205,0.00030205,0.00030205
143,7051.78,0.95337,0.5901,1.0156,0.94263,0.78441,0.88071,0.64001,0.98847,0.58342,0.95393,0.0002971,0.0002971,0.0002971
144,7111.34,0.93295,0.57027,1.00238,0.93318,0.78687,0.8808,0.63833,0.99209,0.57784,0.94919,0.00029215,0.00029215,0.00029215
145,7171.05,0.94719,0.58268,1.01434,0.91033,0.80733,0.88104,0.6418,0.9896,0.58086,0.94804,0.0002872,0.0002872,0.0002872
146,7230.02,0.94278,0.5682,1.0126,0.90286,0.81586,0.88179,0.64166,0.98558,0.58045,0.95101,0.00028225,0.00028225,0.00028225
147,7285.92,0.94042,0.57406,1.01606,0.92121,0.80136,0.88383,0.63911,0.99099,0.57818,0.95162,0.0002773,0.0002773,0.0002773
148,7341.47,0.93296,0.56674,1.00072,0.91774,0.80847,0.88335,0.64336,0.9857,0.5807,0.95017,0.00027235,0.00027235,0.00027235
149,7397.21,0.93011,0.56623,1.00645,0.93649,0.80136,0.88532,0.64175,0.99455,0.57896,0.95028,0.0002674,0.0002674,0.0002674
150,7453.97,0.9175,0.56443,0.99954,0.92771,0.80477,0.8869,0.64365,0.97802,0.56816,0.9425,0.00026245,0.00026245,0.00026245
151,7509.71,0.93511,0.56505,1.00556,0.92758,0.80807,0.88648,0.64285,0.97908,0.5684,0.94794,0.0002575,0.0002575,0.0002575
152,7565.1,0.92937,0.55891,1.00692,0.93859,0.80818,0.88678,0.64914,0.98044,0.56133,0.94722,0.00025255,0.00025255,0.00025255
153,7616.66,0.94319,0.56562,1.00502,0.94296,0.80307,0.88469,0.64213,0.99574,0.571,0.94669,0.0002476,0.0002476,0.0002476
154,7666.38,0.91506,0.55855,1.00288,0.94196,0.80243,0.88695,0.64558,0.97932,0.56529,0.94285,0.00024265,0.00024265,0.00024265
155,7717.69,0.93404,0.55951,1.00106,0.94622,0.79498,0.89052,0.64845,0.96815,0.56007,0.94282,0.0002377,0.0002377,0.0002377
156,7767.52,0.93348,0.56436,1.00577,0.94076,0.80051,0.88429,0.64745,0.97516,0.56433,0.94446,0.00023275,0.00023275,0.00023275
157,7816.6,0.91025,0.55322,0.99776,0.93941,0.79795,0.88361,0.64651,0.97708,0.56584,0.94493,0.0002278,0.0002278,0.0002278
158,7865.07,0.91557,0.55188,0.99086,0.93865,0.80222,0.88855,0.64704,0.98665,0.56323,0.94648,0.00022285,0.00022285,0.00022285
159,7913.66,0.91165,0.54149,0.99993,0.92669,0.80819,0.88496,0.64833,0.98441,0.56337,0.943,0.0002179,0.0002179,0.0002179
160,7961.83,0.90484,0.54294,1.00514,0.9375,0.79625,0.88573,0.64839,0.97975,0.55834,0.94279,0.00021295,0.00021295,0.00021295
161,8010.09,0.91649,0.55269,1.00644,0.94346,0.79881,0.88395,0.65263,0.97002,0.55879,0.94375,0.000208,0.000208,0.000208
162,8058.69,0.89901,0.53572,0.99247,0.93238,0.80136,0.8849,0.64824,0.98678,0.55855,0.94576,0.00020305,0.00020305,0.00020305
163,8106.9,0.92867,0.54932,1.00678,0.93408,0.79728,0.884,0.64915,0.96871,0.55662,0.94313,0.0001981,0.0001981,0.0001981
164,8154.99,0.89377,0.53668,0.99216,0.92525,0.80197,0.88755,0.65122,0.96894,0.55494,0.94309,0.00019315,0.00019315,0.00019315
165,8202.85,0.90774,0.54056,0.9989,0.93705,0.79454,0.88615,0.65205,0.97019,0.55477,0.94204,0.0001882,0.0001882,0.0001882
166,8250.6,0.9106,0.55214,1.00209,0.94001,0.78814,0.88194,0.65165,0.97448,0.55708,0.945,0.00018325,0.00018325,0.00018325
167,8298.09,0.90747,0.53934,0.99258,0.92319,0.80563,0.88265,0.6478,0.97392,0.55925,0.94745,0.0001783,0.0001783,0.0001783
168,8345.89,0.90815,0.54272,0.99959,0.91433,0.80989,0.88419,0.64757,0.9844,0.55948,0.94944,0.00017335,0.00017335,0.00017335
169,8393.65,0.89214,0.53822,0.99189,0.91601,0.80892,0.88243,0.65134,0.97738,0.55726,0.94704,0.0001684,0.0001684,0.0001684
170,8441.8,0.89423,0.53115,0.99192,0.93638,0.79028,0.88198,0.65006,0.97661,0.55413,0.94494,0.00016345,0.00016345,0.00016345
171,8490.03,0.8856,0.52501,0.98297,0.93992,0.79199,0.88431,0.6521,0.9698,0.55565,0.94347,0.0001585,0.0001585,0.0001585
172,8538.08,0.89145,0.5334,0.98589,0.92407,0.80926,0.88658,0.64985,0.96984,0.55076,0.94,0.00015355,0.00015355,0.00015355
173,8586.09,0.87733,0.51905,0.98479,0.93344,0.80108,0.88765,0.65214,0.97022,0.54871,0.94092,0.0001486,0.0001486,0.0001486
174,8634.12,0.87197,0.53055,0.98936,0.92276,0.8133,0.88866,0.65028,0.97266,0.54754,0.94252,0.00014365,0.00014365,0.00014365
175,8682.11,0.88268,0.52395,0.98389,0.93818,0.80214,0.88936,0.65076,0.96866,0.54672,0.94065,0.0001387,0.0001387,0.0001387
176,8730.38,0.88865,0.52557,0.99031,0.92383,0.81159,0.89093,0.65253,0.96731,0.55181,0.94054,0.00013375,0.00013375,0.00013375
177,8778.57,0.8809,0.52244,0.98429,0.93919,0.79881,0.88981,0.65346,0.95907,0.55027,0.93752,0.0001288,0.0001288,0.0001288
178,8826.84,0.88571,0.52256,0.97979,0.93161,0.80125,0.88989,0.65782,0.95012,0.54803,0.93596,0.00012385,0.00012385,0.00012385
179,8875.76,0.87957,0.52359,0.98528,0.92453,0.8042,0.88753,0.65988,0.9484,0.54878,0.9369,0.0001189,0.0001189,0.0001189
180,8925.48,0.87122,0.51778,0.98,0.92465,0.80733,0.88846,0.65747,0.94646,0.54903,0.93501,0.00011395,0.00011395,0.00011395
181,8972.68,0.86815,0.51562,0.98134,0.94146,0.79518,0.88819,0.65865,0.94484,0.54603,0.93703,0.000109,0.000109,0.000109
